start_time,stop_time,satellite,MLT,L
2021-01-25T22:47:27.515,2021-01-25T22:47:33.171,A,18.46067245055651,4.941887821514043
2021-02-01T01:06:49.186,2021-02-01T01:06:54.886,A,19.088733201825548,9.591442564680348
2021-02-01T04:11:35.732,2021-02-01T04:11:41.450,A,20.25978905388921,6.874665107060278
2021-02-01T02:45:48.498,2021-02-01T02:45:55.592,B,19.77044810832995,6.552747497637019
2021-02-01T02:46:02.686,2021-02-01T02:46:05.520,B,19.785673818935127,7.485766167835124
2021-02-01T04:18:13.121,2021-02-01T04:18:18.796,B,20.241285666553235,6.681134840759932
2021-02-01T19:54:16.135,2021-02-01T19:54:18.973,B,16.896006143506714,7.41431545440136
2021-02-01T19:54:21.814,2021-02-01T19:54:24.666,B,16.84699365986279,7.588855922623504
2021-02-01T19:54:27.498,2021-02-01T19:54:30.339,B,16.79622259024854,7.768827014038429
2021-02-01T19:54:16.135,2021-02-01T19:54:18.973,B,16.896006143506714,7.41431545440136
2021-02-01T19:54:21.814,2021-02-01T19:54:24.666,B,16.84699365986279,7.588855922623504
2021-02-01T19:54:27.498,2021-02-01T19:54:30.339,B,16.79622259024854,7.768827014038429
2021-02-01T19:54:16.135,2021-02-01T19:54:18.973,B,16.896006143506714,7.41431545440136
2021-02-01T19:54:21.814,2021-02-01T19:54:24.666,B,16.84699365986279,7.588855922623504
2021-02-01T19:54:27.498,2021-02-01T19:54:30.339,B,16.79622259024854,7.768827014038429
2021-02-02T01:59:23.027,2021-02-02T01:59:40.146,A,19.47091070612339,4.979896635801379
2021-02-02T01:59:42.999,2021-02-02T01:59:51.562,A,19.4748018434524,5.564011176116103
2021-02-02T01:59:23.027,2021-02-02T01:59:40.146,A,19.47091070612339,4.979896635801379
2021-02-02T01:59:42.999,2021-02-02T01:59:51.562,A,19.4748018434524,5.564011176116103
2021-02-02T03:31:23.596,2021-02-02T03:31:26.440,A,19.932381151626565,4.311829823721379
2021-02-03T01:21:05.644,2021-02-03T01:21:08.503,A,19.18404527263313,6.583794198321677
2021-02-03T18:35:05.771,2021-02-03T18:35:14.234,B,17.045252430815086,6.988305755168562
2021-02-03T18:35:19.871,2021-02-03T18:35:22.699,B,16.93577941033013,7.334156164582323
2021-02-12T23:28:48.422,2021-02-12T23:28:51.232,A,18.090731208370553,12.467247728497995
2021-02-19T19:03:41.294,2021-02-19T19:03:44.135,B,16.916467531776068,5.421233825921671
2021-02-19T19:04:21.072,2021-02-19T19:04:29.594,B,16.680470640899383,6.16242148757146
2021-02-19T19:03:41.294,2021-02-19T19:03:44.135,B,16.916467531776068,5.421233825921671
2021-02-19T19:04:21.072,2021-02-19T19:04:29.594,B,16.680470640899383,6.16242148757146
2021-02-19T20:38:26.647,2021-02-19T20:38:29.488,B,16.9610529618226,6.200075377491077
2021-02-20T13:39:54.496,2021-02-20T13:39:57.352,B,18.078670286012528,6.517204095869122
2021-02-22T13:55:01.106,2021-02-22T13:55:37.803,B,17.916676679390665,6.040417982087402
2021-02-23T08:35:25.084,2021-02-23T08:35:33.563,B,19.35813329966729,7.349371772559138
2021-02-23T13:15:58.590,2021-02-23T13:16:01.415,B,18.01393156480257,7.561951649366039
2021-03-02T13:21:00.635,2021-03-02T13:21:06.314,B,17.71760145584069,5.93637085991914
